id,fec_nacim,flg_empleado,gls_nacioncorta,gls_residencialarga,gls_profesionlarga,cod_sexo,gls_cod_estcivillarga,gls_niv_educaclarga,gls_sep_bieneslarga
12569,1994-12-03,N,Chile, ,OTRA,F,Soltero,Medio, 
15780,1975-04-25,N,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
33880,1974-01-09,N,Chile,Residencia Familiar,INGENIERO COMERCIAL,F,Casado,Universitario Completo,CON SEPARACIÓN
26100,1943-11-01,N,Chile, , ,F, ,Sin Asignación, 
23975,2008-04-30,N,Chile, , ,F, ,Sin Asignación, 
26421,1962-10-31,N,Chile, ,OTRA,M, ,Sin Asignación, 
28103,1968-05-05,N,Chile,Residencia Propia,OTRA,F,SIN INFORMACION,Sin Asignación, 
28619,2007-10-26,N,Chile, , ,M, ,Sin Asignación, 
10054,2007-12-13,N,Chile, , ,M, ,Sin Asignación, 
252,1969-06-07,N,Chile, ,OTRA,M, ,Sin Asignación, 
10418,1953-01-19,N,Chile, ,OTRA,M, ,Sin Asignación, 
5466,1943-08-18,N,Chile, ,OTRA,M, ,Sin Asignación, 
23926,1950-12-27,N,Chile, ,OTRA,F, ,Sin Asignación, 
14154,1968-01-18,N,Chile, , ,M, ,Sin Asignación, 
28323,1987-11-26,N,Chile, , ,M, ,Sin Asignación, 
31070,1977-07-24,N,Chile,Residencia Familiar,CIRUJANO DENTISTA,F,Casado,Universitario Completo,CON SEPARACIÓN
5277,1982-08-30,N,Chile, , ,M, ,Sin Asignación, 
15187,1959-08-30,N,Chile, , ,F, ,Sin Asignación, 
10031,1933-04-05,N,Chile, , ,M, ,Sin Asignación, 
2226,1968-07-05,N,Chile,Residencia Propia,ADMINISTRADOR EN COMERCIALIZACION,F,Casado,Técnico,SIN SEPARACIÓN
19741,1959-09-06,N,Chile, , ,F, ,Sin Asignación, 
1675,1958-01-23,N,Chile,Residencia Propia,MEDICO,F,Casado,Universitario Completo,SIN SEPARACIÓN
28411,1992-07-03,N,Chile, ,OTRA,F,Soltero,Medio, 
26315,1966-01-15,N,Argentina,Residencia Arrendada,CONTADOR PUBLICO,M,Casado,Universitario Completo,SIN SEPARACIÓN
30822,1962-05-27,N,Chile,Propia con deuda,MEDICO,M,Casado,Universitario Completo,SIN SEPARACIÓN
10153,1942-06-17,N,Chile, , ,M, ,Sin Asignación, 
19338,1937-11-01,N,Chile, , ,M, ,Sin Asignación, 
1342,1979-02-17,N,Chile, , ,M, ,Sin Asignación, 
19199,1985-05-17,N,Chile,Residencia Propia,DISEÑADOR GRAFICO,F,Soltero,Universitario Completo, 
6721,1951-10-29,N,Chile,Residencia Propia,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,SIN SEPARACIÓN
18805,1970-12-13,N,Chile,Residencia Familiar,CONTADOR AUDITOR,F,Casado,Universitario Completo,SIN SEPARACIÓN
29321,1965-08-15,N,Chile, ,EDUCADOR PARVULARIO,F,Casado,Universitario Completo,SIN SEPARACIÓN
34973,1941-05-26,N,Chile,Residencia Propia,OTRA,M,Casado,Sin Asignación,SIN SEPARACIÓN
24912,1964-05-09,S,Chile, ,OTRA,M,SIN INFORMACION,Sin Asignación, 
24740,1967-10-13,N,Chile,Residencia Propia,ABOGADO,M,Casado,Universitario Completo,SIN SEPARACIÓN
23493,1970-12-23,N,Chile, ,OTRA,F,Casado,Técnico,SIN SEPARACIÓN
28067,1979-10-05,N,Chile,Residencia Propia,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,SIN SEPARACIÓN
10529,1954-07-14,N,Chile,Propia con deuda,INGENIERO COMERCIAL,F,Casado,Universitario Completo,SIN SEPARACIÓN
23991,1940-08-06,N,Chile,Residencia Propia,OTRA,M,Casado,Basico,SIN SEPARACIÓN
19604,1946-03-28,N,Chile,Propia con deuda,INGENIERO COMERCIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
28947,1946-12-25,N,Chile,Propia con deuda,INGENIERO CIVIL,M,Casado,Universitario Completo,SIN SEPARACIÓN
10357,1954-01-12,S,Chile,Residencia Propia,OTRA,F,Casado,Sin Asignación,SIN SEPARACIÓN
33802,1958-01-10,N,Chile,Residencia Propia,PROFESOR,F,Casado,Universitario Completo,SIN SEPARACIÓN
19344,1944-07-28,N,Chile,Residencia Propia,INGENIERO CIVIL INDUSTRIAL,M,Casado,Universitario Completo,CON SEPARACIÓN
19890,1960-07-12,N,Chile,Residencia Familiar,PUBLICISTA,F,Casado,Universitario Completo,CON SEPARACIÓN
29441,1942-07-18,N,Chile,Residencia Propia,OTRA,M,Casado,Técnico,SIN SEPARACIÓN
19406,1930-06-23,N,Chile, ,OTRA,F,Casado,Sin Asignación,SIN SEPARACIÓN
11058,1968-06-20,N,Chile,Residencia Propia,INGENIERO COMERCIAL,F,Casado,Universitario Completo,SIN SEPARACIÓN
7335,1988-02-05,N,Chile,Residencia Familiar,PSICOLOGO,M,Soltero,Universitario Completo, 
28943,1945-06-08,N,Chile,Residencia Propia,SECRETARIA,F,Casado,Universitario Completo,CON SEPARACIÓN
5292,1983-08-20,N,Chile,Residencia Propia,PROFESOR,F,Soltero,Universitario Completo, 
15277,1964-05-14,N,Chile,Propia con deuda,OTRA,M,Casado,Universitario Incompleto,CON SEPARACIÓN
20108,1940-10-04,N,Chile,Residencia Propia,LICENCIADO EN HISTORIA,F,Soltero,Sin Asignación, 
5416,1944-09-18,N,Chile,Residencia Propia,AGRICULTOR,M,Casado,Sin Asignación,CON SEPARACIÓN
10274,1954-02-08,N,Chile,Residencia Propia,INGENIERO,M,Casado,Universitario Completo,SIN SEPARACIÓN
10587,1965-08-18,N,Chile,Residencia Propia,TECNICO EN TURISMO,F,Casado,Técnico,CON SEPARACIÓN
28075,1965-02-17,N,Chile, ,OTRA,M, ,Sin Asignación, 
33032,1992-01-06,N,Chile, ,OTRA,M, ,Sin Asignación, 
23968,1939-10-27,N,Chile, ,OTRA,F, ,Sin Asignación, 
23770,1981-01-29,N,Chile, ,OTRA,M, ,Sin Asignación, 
1414,1956-08-27,N,Chile, ,OTRA,M, ,Sin Asignación, 
5592,1945-07-27,N,Chile, ,OTRA,F, ,Sin Asignación, 
19799,1961-06-01,N,Chile, ,OTRA,F, ,Sin Asignación, 
